file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-X-2016-P-D-B01-1-R-01_0010_234121_to_239616,ང་ཚོས་ས་ལའེཋི་བཏང་ཡ་ཡིན་པེ། སྒྲོན་གསལ། ས་ལའེ་ཋི།  ,nga tshos sa la'eThi btang ya yin pe/_sgron gsal/_sa la'e Thi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2016-P-D-B01-1-R-01_0010_234121_to_239616.wav,STT_CS,3,50,5.495,wav16k/STT_CS-X-2016-P-D-B01-1-R-01_0010_234121_to_239616.wav,ང་ཚོ་ས་ལཋྀ་བཏང་ཡག་ཡིན་པེ། ཀུན་ཤ། ས་ལྀ
STT_NS_M0417_0049_1285315_to_1292909,ད་སྒྲུབ་ཀི་ཡོད་ནའང་ཨ་ད་སྒྲུབ་ཀི་རེད་བེ་ལབ་ནས་ཡོད་བ། སོ་སོ། སོ་སོ་སོ་སོས་བསམ་བློ་གཏང་དགོས་ཡ་ཆགས་འདུག་བ། ཨོ་དེ་ཡིན་དུས་སྐབས་སུ་ང་ཚོས།  ,da sgrub ki yod na'ang a da sgrub ki red be lab nas yod ba/_so so/_so so so sos bsam blo gtang dgos ya chags 'dug ba/_o de yin dus skabs su nga tshos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0417_0049_1285315_to_1292909.wav,STT_NS,3,133,7.594,wav16k/STT_NS_M0417_0049_1285315_to_1292909.wav,ད་སྒྲུབ་ཀི་ཡོད་ན་ཨ་ད་སྒྲུབ་ཀི་རེད་བེ་ལབ་ནས་ཡོད་བ། སོ་སོ་སསོ་སོ་སོ་སོ་བསམ་བློ་གཏང་དགོས་ཡ་ཅིག་ཆགས་འདུག་བ། ཨོ་དེ་ཡིན་དུས་སྐབས་སུ་ང་ཚོས།
STT_TT00732_0099_629746_to_634386,ཨོ་དེ་ནས། འདོད་པ་ཐམས་ཅད་ཐོག་ཏུ་བབ་མ་ཐུབ་ཡ། མི་འདོད་པ་མང་པོ་ཅིག་ཐོག་ཏུ་སླེབས་བསྡད་ཡ།  ,o de nas/_'dod pa thams cad thog tu bab ma thub ya/_mi 'dod pa mang po cig thog tu slebs bsdad ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00732_0099_629746_to_634386.wav,STT_TT,3,85,4.64,wav16k/STT_TT00732_0099_629746_to_634386.wav,ཨོ་དེ་ནས། འདོད་པ་ཐམས་ཅད་ཐོག་ཏུ་བབ་མ་ཐུབ་ཡ། མི་འདོད་པ་མང་པོ་ཅིག་ཐོག་ཏུ་སླེབ་བསྡད་ཡ།
STT_TT00761_1116_6969941_to_6972981,ཁོ་གཉིས་བར་རོལ་ལ་མ་འདྲ་བ། ཁྱད་པར་མ་འདྲ་བ་མང་པོ་ཐོན་ཡོང་གི་འདུག ད་ལྟ་དེའི་ ,kho gnyis bar rol la ma 'dra ba/_khyad par ma 'dra ba mang po thon yong gi 'dug_da lta de'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1116_6969941_to_6972981.wav,STT_TT,3,74,3.04,wav16k/STT_TT00761_1116_6969941_to_6972981.wav,ཁོ་གཉིས་བར་རོལ་ལ་མ་འདྲ་བ། ཁྱད་པར་མ་འདྲ་བ་མང་པོ་ཐོན་ཡོང་གི་འདུག ད་ལྟ་དེ།
STT_TT00761_2061_12693677_to_12696715,འདུས་བྱས་དང་འདུས་མ་བྱས་ཀི་ཆོས་ག་འདྲ་ཡིན་ན་ཡང་རུང་།  ,'dus byas dang 'dus ma byas ki chos ga 'dra yin na yang rung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_2061_12693677_to_12696715.wav,STT_TT,3,52,3.038,wav16k/STT_TT00761_2061_12693677_to_12696715.wav,འདུས་བྱས་དང་འདུས་མ་བྱས་ཀི་ཆོས་ག་འདྲ་ཡིན་ན་ཡང་རུང་།
STT_MV0257_0171_1199199_to_1201405,སྐབས་འཕྲལ་ལ་བཟོས་རྒྱོ་སོང་ཙང་།  ,skabs 'phral la bzos rgyo song tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0257_0171_1199199_to_1201405.wav,STT_MV,3,32,2.206,wav16k/STT_MV0257_0171_1199199_to_1201405.wav,སྐབས་འཕྲལ་ལ་བཟོས་རྒྱོ་སོང་ཙང་།
STT_NS_M0429_0017_108506_to_113630,ཨ་རི་རྒྱལ་ཁབ་ནང་ད་ང་ཚོ་མི་རིགས་ནག་པོ་དང་། མི་རིགས་དཀར་བོ་གཉིས་བསྡད་བསྡད་ཀི་ཡོད་དུས་སྐབས་སུ་ཡོད་བ་ད།  ,a ri rgyal khab nang da nga tsho mi rigs nag po dang /_mi rigs dkar bo gnyis bsdad bsdad ki yod dus skabs su yod ba da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0429_0017_108506_to_113630.wav,STT_NS,3,101,5.124,wav16k/STT_NS_M0429_0017_108506_to_113630.wav,ཨ་རིའི་རྒྱལ་ཁབ་ནང་ད་ང་ཚོ་མི་རིགས་ནག་པོ་དང་མི་རིགས་དཀར་པོ་གཉིས་བསྡད་བསྡད་ཀི་ཡོད་དུས་སྐབས་སུ་ཡོད་བ་ད།
STT_TT00733_0436_2521441_to_2526083,མ་ཧཱ་བཛྲ་ཧཱུྃ། བཛྲ་གྷཎྜེ་ཨཱ།  ,ma hA badzra hU~M/_badzra g+haN+De A/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00733_0436_2521441_to_2526083.wav,STT_TT,3,30,4.642,wav16k/STT_TT00733_0436_2521441_to_2526083.wav,མ་ཧཱ་བཛྲ་ཧཱུཾ། བཛྲ་གྜེ་ཨཱ།
STT_TT00761_1882_11616508_to_11618652,གཞན་ལུགས་རྗོད་པར་མི་མཁས་པ་ཟེར་དུས།  ,gzhan lugs rjod par mi mkhas pa zer dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1882_11616508_to_11618652.wav,STT_TT,3,36,2.144,wav16k/STT_TT00761_1882_11616508_to_11618652.wav,གཞན་ལུགས་བརྗོད་པར་མི་མཁས་པ་ཟེར་དུས།
STT_TT00765_0325_2044858_to_2046970,དགེ་སློང་ཕའི་སྡོམ་པ་ཡིན་པས་ཁྱབ་པ་ཡོད་མ་རེད།  ,dge slong pha'i sdom pa yin pas khyab pa yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00765_0325_2044858_to_2046970.wav,STT_TT,3,45,2.112,wav16k/STT_TT00765_0325_2044858_to_2046970.wav,དགེ་སློང་ཕའི་སྡོམ་པ་ཡིན་པས་ཁྱབ་པ་ཡོད་མ་རེད།
